day,truck_id,forest_id,trip_number,total_trips_for_truck,cbm_per_truck,profit
3,40,PFM,3,3,45,3458.7
3,44,PFM,3,3,45,3458.7
3,47,PFM,3,3,45,3458.7
3,48,PFM,3,3,45,3458.7
3,49,PFM,3,3,45,3458.7
3,52,PFM,3,3,55,4227.3
3,55,PFM,3,3,55,6340.95
3,59,PFM,3,3,55,2113.65
3,73,HuaJia,3,3,55,3502.9500000000003
3,78,PFM,3,3,55,6340.95
3,82,PFM,3,3,55,4227.3
3,85,PFM,3,3,55,4227.3
3,90,PFM,3,3,55,4227.3
3,91,HuaJia,3,3,55,3502.9500000000003
3,93,HuaJia,3,3,55,3502.9500000000003
3,97,PFM,3,3,55,6340.95
3,106,HuaJia,3,3,55,3502.9500000000003
